date;setor;codigo;acao;tipo;qtde_teorica;part_percent;part_acum_percent
28/03/2025;Financ e Outros / Interms Financs;BBDC4;BRADESCO;PN      N1;5129958973.0;3.126;18.245
28/03/2025;Financ e Outros / Interms Financs;BBAS3;BRASIL;ON      NM;2842613858.0;3.817;18.245
28/03/2025;Financ e Outros / Interms Financs;BPAC11;BTGP BANCO;UNT     N2;1287247964.0;2.104;18.245
28/03/2025;Financ e Outros / Interms Financs;ITUB4;ITAUUNIBANCO;PN      N1;5272192664.0;7.928;18.245
28/03/2025;Financ e Outros / Interms Financs;SANB11;SANTANDER BR;UNT;356586730.0;0.458;18.245
28/03/2025;Financ e Outros / Previd  Seguros;BBSE3;BBSEGURIDADE;ON      NM;637332335.0;1.204;2.125
28/03/2025;Financ e Outros / Previd  Seguros;CXSE3;CAIXA SEGURI;ON  ATZ NM;517500000.0;0.368;2.125
28/03/2025;Financ e Outros / Previd  Seguros;IRBR3;IRBBRASIL RE;ON      NM;81838243.0;0.198;2.125
28/03/2025;Financ e Outros / Previd  Seguros;PSSA3;PORTO SEGURO;ON      NM;182560698.0;0.355;2.125
28/03/2025;Financeiro e Outros/Serviços Financeiros Diversos;B3SA3;B3;ON  EJ  NM;5392540963.0;3.127;3.127
28/03/2025;Mats Básicos / Madeira e Papel;KLBN11;KLABIN S/A;UNT     N2;765785673.0;0.687;2.278
28/03/2025;Mats Básicos / Madeira e Papel;SUZB3;SUZANO S.A.;ON      NM;630821784.0;1.591;2.278
28/03/2025;Mats Básicos / Mineração;BRAP4;BRADESPAR;PN      N1;250969312.0;0.216;12.326
28/03/2025;Mats Básicos / Mineração;CMIN3;CSNMINERACAO;ON      N2;1646519336.0;0.486;12.326
28/03/2025;Mats Básicos / Mineração;VALE3;VALE;ON      NM;4270903023.0;11.624;12.326
28/03/2025;Mats Básicos / Químicos;BRKM5;BRASKEM;PNA ATZ N1;265388400.0;0.146;0.146
28/03/2025;Mats Básicos / Sid Metalurgia;GGBR4;GERDAU;PN      N1;1242683687.0;1.011;1.786
28/03/2025;Mats Básicos / Sid Metalurgia;GOAU4;GERDAU MET;PN      N1;649238303.0;0.293;1.786
28/03/2025;Mats Básicos / Sid Metalurgia;CSNA3;SID NACIONAL;ON;727459637.0;0.339;1.786
28/03/2025;Mats Básicos / Sid Metalurgia;USIM5;USIMINAS;PNA     N1;515193199.0;0.143;1.786
28/03/2025;Petróleo/ Gás e Biocombustíveis;BRAV3;BRAVA;ON  ATZ NM;460791208.0;0.499;16.683
28/03/2025;Petróleo/ Gás e Biocombustíveis;CSAN3;COSAN;ON      NM;1150987430.0;0.418;16.683
28/03/2025;Petróleo/ Gás e Biocombustíveis;PETR3;PETROBRAS;ON      N2;2255782178.0;4.379;16.683
28/03/2025;Petróleo/ Gás e Biocombustíveis;PETR4;PETROBRAS;PN      N2;4431132660.0;7.812;16.683
28/03/2025;Petróleo/ Gás e Biocombustíveis;RECV3;PETRORECSA;ON      NM;275170410.0;0.216;16.683
28/03/2025;Petróleo/ Gás e Biocombustíveis;PRIO3;PETRORIO;ON      NM;779999989.0;1.484;16.683
28/03/2025;Petróleo/ Gás e Biocombustíveis;RAIZ4;RAIZEN;PN      N2;1198936529.0;0.107;16.683
